scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg3,3.91,244411,247460,244545,244.54,3.82,3.28,7.63,59.14,27.25,5,3,0,0,59.39,985,6,1,0,930
scenario 1,alg3,3.9,244545,247506,244092,244.09,3.84,3.29,7.64,59.04,26.45,10,1,0,0,59.4,980,6,3,0,929
scenario 1,alg3,3.91,244092,246880,243926,243.93,3.84,3.28,7.63,58.99,26.42,10,2,0,0,59.39,981,5,2,0,925
scenario 1,alg3,3.84,243926,246987,243551,243.55,3.81,3.26,7.61,58.9,26.93,9,5,0,0,59.35,980,6,0,0,921
scenario 1,alg3,3.84,243551,246762,243225,243.22,3.79,3.26,7.62,58.86,27.21,9,5,0,0,59.31,980,5,1,0,918
scenario 1,alg3,3.84,243225,246585,244116,244.12,3.79,3.25,7.6,59.09,26.3,7,3,0,0,59.42,982,6,2,0,932
scenario 1,alg3,3.83,244116,246829,243632,243.63,3.8,3.25,7.59,58.97,27.25,8,4,0,0,59.35,981,6,1,0,924
scenario 1,alg3,3.85,243632,246727,243585,243.59,3.81,3.28,7.62,59.02,26.64,6,5,0,0,59.38,981,7,1,0,924
scenario 1,alg3,3.78,243585,246674,243372,243.37,3.77,3.24,7.59,58.93,26.15,8,5,0,0,59.36,980,6,1,0,923
scenario 1,alg3,3.77,243372,246466,243762,243.76,3.78,3.25,7.59,58.87,26.56,11,5,0,0,59.39,979,5,0,0,923
scenario 1,alg3,3.79,243762,246849,244713,244.71,3.75,3.24,7.59,59.09,27.2,12,3,0,0,59.58,979,6,0,0,942
scenario 1,alg3,3.8,244713,246868,244327,244.33,3.79,3.27,7.61,59.02,27.67,10,2,0,0,59.4,983,5,0,0,930
scenario 1,alg3,3.8,244327,247212,244390,244.39,3.8,3.28,7.64,59.08,26.83,10,1,1,0,59.47,981,7,0,0,934
scenario 1,alg3,3.85,244390,247002,244528,244.53,3.79,3.26,7.61,59.09,26.7,9,1,0,0,59.42,984,5,1,0,932
scenario 1,alg3,3.83,244528,247342,244364,244.36,3.78,3.25,7.61,59.03,27.0,9,2,0,0,59.38,984,4,1,0,926
scenario 1,alg3,3.82,244364,247505,244017,244.02,3.77,3.25,7.61,58.92,26.79,12,1,1,0,59.38,982,3,1,0,924
scenario 1,alg3,3.83,244017,247175,244443,244.44,3.78,3.25,7.6,58.96,26.93,11,3,0,0,59.42,983,2,1,0,930
scenario 1,alg3,3.81,244443,247321,244641,244.64,3.77,3.23,7.58,59.13,28.33,8,1,0,0,59.41,984,6,1,0,934
scenario 1,alg3,3.85,244641,247328,244687,244.69,3.81,3.27,7.62,59.25,28.5,3,1,0,0,59.37,988,7,1,0,931
scenario 1,alg3,3.83,244687,247691,245678,245.68,3.72,3.17,7.53,59.32,25.14,6,1,0,0,59.56,987,5,1,0,945
scenario 1,alg3,3.78,245678,247984,245185,245.19,3.74,3.21,7.57,59.1,25.69,10,3,0,0,59.54,985,2,0,0,943
scenario 1,alg3,3.76,245185,247471,245322,245.32,3.69,3.19,7.54,59.2,27.27,8,3,0,0,59.56,984,5,0,0,944
scenario 1,alg3,3.75,245322,247538,244992,244.99,3.71,3.18,7.53,59.17,27.7,7,2,0,1,59.49,985,5,0,0,939
scenario 1,alg3,3.79,244992,247477,245535,245.53,3.74,3.21,7.56,59.28,25.88,6,2,0,0,59.55,987,4,0,1,948
scenario 1,alg3,3.84,245535,247640,245592,245.59,3.78,3.26,7.61,59.27,26.62,7,1,0,0,59.53,987,4,0,1,943
scenario 1,alg3,3.78,245592,247995,246357,246.36,3.73,3.2,7.55,59.36,26.89,9,0,0,0,59.65,987,3,0,1,955
