scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg1,6.84,250000,250000,250000,250.0,5.45,3.23,7.6,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.22,250000,250000,250000,250.0,5.76,3.24,7.61,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.33,250000,250000,250000,250.0,6.65,3.25,7.61,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.11,250000,250000,250000,250.0,5.66,3.23,7.6,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.58,250000,250000,250000,250.0,5.94,3.19,7.55,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.43,250000,250000,250000,250.0,6.69,3.15,7.51,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.4,250000,250000,250000,250.0,6.73,3.17,7.53,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.25,250000,250000,250000,250.0,5.75,3.18,7.55,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.53,250000,250000,250000,250.0,6.74,3.18,7.54,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.7,250000,250000,250000,250.0,7.03,3.17,7.54,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.44,250000,250000,250000,250.0,5.89,3.21,7.57,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,6.46,250000,250000,250000,250.0,5.13,3.18,7.54,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.76,250000,250000,250000,250.0,6.16,3.18,7.54,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.38,250000,250000,250000,250.0,5.86,3.15,7.52,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.53,250000,250000,250000,250.0,5.98,3.2,7.57,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.66,250000,250000,250000,250.0,5.94,3.2,7.57,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.2,250000,250000,250000,250.0,5.68,3.18,7.55,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.07,250000,250000,250000,250.0,6.45,3.15,7.51,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.94,250000,250000,250000,250.0,6.3,3.14,7.51,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.93,250000,250000,250000,250.0,7.19,3.15,7.51,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.53,250000,250000,250000,250.0,6.78,3.17,7.53,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
