net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
18.02,563786,573361,527651,175.88,6.59,3.28,7.63,51.02,26.3,175,185,192,152,58.6,1886,254,146,10,1852
19.73,527651,537334,537334,179.11,7.15,3.3,7.65,51.69,25.72,164,285,4,149,58.22,1935,225,226,12,1869
18.46,537334,549000,513767,171.26,7.35,3.29,7.64,50.18,26.7,208,289,11,260,58.26,1855,189,183,5,1721
18.15,513767,531141,531141,177.05,6.74,3.3,7.65,51.55,26.06,316,143,10,128,57.88,1890,197,179,137,1769
16.93,531141,547538,547538,182.51,6.1,3.29,7.64,51.39,27.03,284,209,10,127,57.86,1939,284,11,136,1855
19.5,547538,560363,560363,186.79,6.85,3.29,7.63,54.14,26.86,189,183,5,0,58.06,2063,289,11,260,1890
18.62,560363,577474,577474,192.49,6.35,3.29,7.64,52.67,26.29,197,179,137,0,58.11,2206,143,10,128,1939
21.08,577474,599549,599549,199.85,6.94,3.29,7.64,53.75,25.22,284,11,136,0,58.54,2223,209,10,127,2063
21.55,599549,614890,579821,193.27,7.66,3.26,7.61,51.57,26.72,324,17,244,95,58.85,2088,206,16,10,2027
21.37,579821,591330,573308,191.1,7.56,3.29,7.64,52.94,26.2,223,22,124,138,58.38,2153,200,127,13,1955
22.12,573308,592112,587334,195.78,7.46,3.28,7.63,52.15,26.96,280,28,123,143,58.11,2257,37,120,12,1966
19.67,587334,608403,542157,180.72,7.68,3.27,7.62,51.45,25.5,282,49,21,264,58.16,1997,107,201,79,1824
19.06,542157,559607,559607,186.54,6.69,3.25,7.6,51.19,26.35,307,119,17,226,58.32,2044,60,114,113,1936
