net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
8.87,567757,585411,568625,189.54,4.1,3.24,7.6,52.6,26.19,128,93,95,198,58.06,2196,74,104,112,1940
8.87,568625,586290,569864,189.95,4.1,3.25,7.6,52.74,26.21,105,99,91,206,58.06,2206,87,103,103,1953
8.88,569864,587172,566082,188.69,4.14,3.29,7.65,52.75,26.44,99,103,95,196,57.93,2200,81,100,126,1929
8.83,566082,584431,566792,188.93,4.13,3.28,7.64,52.72,26.27,91,90,84,222,57.84,2217,87,83,126,1923
8.92,566792,585959,567788,189.26,4.16,3.3,7.66,52.86,26.01,100,79,77,217,57.88,2206,99,75,147,1933
8.91,567788,585802,567672,189.22,4.15,3.29,7.65,52.74,26.23,96,85,87,234,58.06,2202,100,72,124,1950
8.92,567672,584898,567403,189.13,4.14,3.27,7.64,52.83,26.16,106,73,85,228,58.06,2203,91,68,146,1944
8.88,567403,585101,567169,189.06,4.13,3.28,7.64,52.69,26.32,111,77,104,213,58.02,2198,83,65,149,1954
8.95,567169,584031,568206,189.4,4.15,3.28,7.65,53.04,26.35,115,70,86,203,58.05,2197,88,74,167,1954
8.87,568206,585056,567460,189.15,4.15,3.3,7.66,52.59,25.87,113,69,102,226,58.06,2206,77,70,137,1948
8.78,567460,584971,567606,189.2,4.12,3.28,7.65,52.57,26.2,109,67,113,234,58.14,2208,75,75,119,1945
8.85,567606,585377,568231,189.41,4.13,3.29,7.65,52.76,26.59,104,76,110,215,58.06,2205,81,65,144,1961
8.82,568231,584794,567399,189.13,4.15,3.28,7.64,53.08,26.13,87,67,110,188,57.86,2213,81,75,179,1956
8.8,567399,584417,566440,188.81,4.1,3.24,7.6,53.22,26.37,93,65,104,198,58.08,2202,76,86,176,1959
8.83,566440,583027,568915,189.64,4.11,3.25,7.6,53.09,26.15,97,60,118,206,58.24,2209,75,85,150,1984
8.83,568915,584406,566916,188.97,4.12,3.28,7.64,52.71,26.04,104,73,152,172,58.06,2196,69,82,152,1960
8.85,566916,583223,567486,189.16,4.11,3.26,7.61,52.84,26.4,103,78,137,183,58.14,2195,75,79,150,1964
8.82,567486,583573,566851,188.95,4.11,3.25,7.61,53.02,26.38,95,75,119,187,58.04,2202,76,101,145,1954
8.85,566851,583591,566282,188.76,4.11,3.26,7.62,52.82,26.07,84,75,109,214,57.94,2205,85,116,112,1945
8.8,566282,583586,565824,188.61,4.09,3.26,7.62,52.88,26.34,91,79,119,212,58.2,2191,81,104,123,1967
8.74,565824,581552,565163,188.39,4.1,3.27,7.63,52.88,26.51,88,94,102,209,58.07,2191,81,100,135,1954
8.74,565163,581577,565112,188.37,4.09,3.27,7.62,53.13,26.18,93,98,79,182,57.91,2186,82,103,177,1962
8.81,565112,580687,565507,188.5,4.11,3.28,7.64,53.36,26.44,94,91,89,169,58.03,2184,83,106,184,1966
8.79,565507,580986,564232,188.08,4.12,3.29,7.64,53.24,26.18,96,96,109,156,58.1,2177,96,95,175,1951
8.83,564232,580360,565000,188.33,4.11,3.26,7.62,52.59,25.97,103,95,132,184,58.1,2185,98,71,132,1944
8.78,565000,581686,565484,188.49,4.11,3.28,7.64,52.77,26.2,103,91,142,171,58.17,2182,90,87,134,1956
8.8,565484,581682,567594,189.2,4.13,3.28,7.63,52.82,26.72,109,98,138,168,58.2,2183,87,88,129,1973
8.8,567594,583095,568486,189.5,4.12,3.28,7.63,53.14,26.12,103,79,125,152,58.03,2194,93,99,155,1979
8.75,568486,583904,569495,189.83,4.09,3.24,7.6,53.13,26.24,98,77,122,168,58.07,2200,101,97,137,1971
8.76,569495,585649,569025,189.68,4.08,3.25,7.6,53.51,26.51,97,75,112,154,58.13,2198,106,107,151,1974
8.77,569025,584957,569588,189.86,4.08,3.25,7.6,53.04,26.13,106,93,131,134,57.96,2201,89,105,141,1963
8.81,569588,586285,569619,189.87,4.1,3.26,7.62,53.18,26.21,113,95,128,123,58.05,2196,84,103,158,1956
8.84,569619,586705,570964,190.32,4.11,3.25,7.6,53.1,26.49,120,98,134,131,58.21,2199,76,101,141,1975
8.83,570964,587118,571821,190.61,4.09,3.23,7.59,52.93,26.0,110,95,119,155,58.04,2208,85,119,109,1974
8.79,571821,588193,570504,190.17,4.11,3.26,7.62,52.77,26.12,99,84,116,192,57.99,2217,82,109,101,1950
8.83,570504,588375,572445,190.81,4.09,3.25,7.61,53.01,26.31,86,78,105,214,58.13,2236,86,100,95,1965
8.81,572445,590509,573340,191.11,4.09,3.24,7.6,52.85,26.21,93,84,80,232,58.04,2233,88,93,97,1972
8.85,573340,590668,575212,191.74,4.1,3.24,7.6,53.04,26.28,108,81,71,218,58.11,2227,79,87,129,1999
8.9,575212,591131,574852,191.62,4.12,3.27,7.62,53.33,26.62,105,85,77,190,58.13,2229,74,82,158,1998
8.92,574852,591161,575723,191.91,4.11,3.24,7.6,53.42,26.38,113,81,73,167,57.99,2234,83,68,181,1988
8.87,575723,592397,574188,191.4,4.11,3.26,7.61,53.4,26.17,104,91,102,131,57.93,2230,91,63,188,1967
8.92,574188,591770,576256,192.09,4.11,3.27,7.62,53.28,26.35,104,87,126,146,58.19,2232,96,65,144,1982
8.98,576256,593624,577703,192.57,4.11,3.27,7.63,53.08,26.08,107,78,136,151,58.12,2244,90,66,128,1992
8.99,577703,594869,577742,192.58,4.12,3.27,7.62,53.03,26.17,113,60,130,174,58.1,2238,99,82,104,1987
9.01,577742,594963,578336,192.78,4.14,3.27,7.62,53.19,26.33,113,55,107,191,58.13,2243,94,93,104,1993
8.97,578336,595527,577641,192.55,4.11,3.27,7.62,53.28,26.36,108,62,108,170,58.01,2250,86,103,113,1974
9.01,577641,596213,578324,192.77,4.13,3.27,7.62,53.09,26.05,122,69,77,198,58.06,2253,64,103,114,1980
8.92,578324,596497,579025,193.01,4.12,3.27,7.62,53.11,26.1,117,86,85,182,58.12,2245,61,97,127,1997
8.93,579025,595945,577434,192.48,4.14,3.31,7.66,53.26,26.64,101,91,89,188,58.19,2247,66,92,126,2000
8.91,577434,594099,577229,192.41,4.14,3.29,7.65,53.5,26.42,77,101,102,138,57.89,2260,75,78,169,1991
8.86,577229,594658,577702,192.57,4.13,3.3,7.66,53.59,26.24,77,85,106,150,58.02,2249,87,91,155,2011
8.93,577702,593723,577788,192.6,4.14,3.31,7.66,53.66,26.25,85,88,105,152,58.25,2240,91,86,153,2024
8.93,577788,592907,576849,192.28,4.13,3.29,7.65,53.36,26.29,91,83,136,154,58.31,2227,100,85,124,2023
8.88,576849,591684,575857,191.95,4.1,3.25,7.6,52.98,25.98,105,85,123,170,58.16,2225,91,86,115,2001
8.92,575857,591706,573048,191.02,4.16,3.32,7.67,52.91,26.3,96,84,120,193,58.15,2221,95,91,100,1981
8.87,573048,589752,571682,190.56,4.14,3.3,7.65,53.03,26.41,108,78,84,208,58.08,2214,89,109,110,1971
8.95,571682,588544,571584,190.53,4.17,3.33,7.69,53.02,26.13,109,81,79,195,57.94,2218,85,98,135,1964
8.86,571584,588868,571631,190.54,4.14,3.33,7.69,53.25,26.54,104,84,91,180,58.08,2215,86,89,151,1973
8.89,571631,588383,571145,190.38,4.16,3.32,7.68,53.29,26.5,111,89,98,154,58.04,2212,79,70,187,1966
