net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
29.55,815454,829000,817480,204.37,5.66,10.19,54.53,26.08,165,121,97,147,58.88,3144,109,83,134,2997
29.32,817480,830801,814593,203.65,5.67,10.21,54.25,26.65,175,121,116,157,58.82,3133,102,85,111,2968
29.48,814593,829153,821818,205.45,5.57,10.1,54.83,26.56,163,116,95,110,58.72,3165,114,87,150,3002
29.47,821818,836003,818836,204.71,5.58,10.1,54.83,26.55,149,95,114,121,58.68,3157,137,93,134,2991
29.13,818836,833019,818371,204.59,5.56,10.09,54.95,26.24,152,84,108,119,58.71,3156,144,108,129,2975
29.24,818371,833643,816925,204.23,5.56,10.09,54.45,26.37,176,87,128,140,58.75,3147,127,97,98,2955
29.29,816925,832819,821319,205.33,5.54,10.07,54.68,26.29,175,93,124,117,58.82,3163,106,114,108,2992
29.28,821319,836193,822579,205.64,5.61,10.14,54.58,26.55,179,106,124,114,58.8,3163,105,105,104,3000
29.47,822579,836996,824603,206.15,5.57,10.1,54.96,26.32,159,107,95,108,58.76,3184,108,122,117,3015
29.77,824603,838856,827026,206.76,5.65,10.18,54.87,26.62,156,122,105,100,58.75,3194,108,118,97,3006
29.79,827026,842482,824365,206.09,5.59,10.12,54.95,26.35,155,100,98,122,58.81,3179,124,123,99,3013
29.91,824365,838689,825448,206.36,5.55,10.08,54.84,26.17,149,123,106,108,58.81,3181,127,105,101,3024
29.13,825448,839154,819423,204.86,5.57,10.1,54.55,26.34,173,130,85,137,58.81,3151,119,104,101,2979
29.35,819423,834472,821773,205.44,5.54,10.07,54.52,26.5,179,133,91,119,58.73,3170,104,90,114,2970
