city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
zurich,0.08,flatwise,0.0,39.26,14.0,0.04,23.35,6.47,16.88,3,0.58,49.94,786,23,0,0,187,4,0,0,0
zurich,0.08,flatwise,0.0,42.21,14.42,0.04,22.29,6.89,15.4,1,0.63,52.94,675,36,0,0,285,4,0,0,0
zurich,0.08,flatwise,0.0,32.38,13.98,0.03,26.58,6.37,20.21,6,0.65,40.17,865,17,1,0,115,2,0,0,0
zurich,0.08,flatwise,0.0,31.28,14.4,0.03,27.24,6.92,20.32,4,0.62,38.01,895,15,1,0,87,2,0,0,0
zurich,0.08,flatwise,0.0,39.82,14.11,0.04,23.67,6.58,17.09,0,0.49,48.93,810,29,1,0,157,3,0,0,0
zurich,0.08,flatwise,0.0,38.11,14.32,0.04,24.52,6.84,17.68,7,0.71,46.34,806,25,1,0,165,3,0,0,0
zurich,0.08,flatwise,0.0,34.17,13.72,0.03,25.85,6.25,19.6,5,0.59,42.38,799,21,0,0,177,3,0,0,0
zurich,0.08,flatwise,0.0,36.36,13.92,0.04,24.89,6.47,18.42,1,0.57,45.35,774,23,0,0,198,5,0,0,0
zurich,0.08,flatwise,0.0,32.38,14.45,0.03,26.64,7.02,19.62,3,0.72,40.03,873,19,0,0,106,2,0,0,0
zurich,0.08,flatwise,0.0,36.49,12.93,0.04,24.79,5.49,19.3,1,0.5,45.49,809,21,0,0,164,6,0,0,0
zurich,0.08,flatwise,0.0,37.93,14.14,0.04,24.37,6.67,17.7,2,0.58,46.67,785,31,0,0,177,7,0,0,0
zurich,0.08,flatwise,0.0,27.51,14.47,0.03,28.75,6.95,21.8,9,0.74,33.79,945,8,0,0,46,1,0,0,0
zurich,0.08,flatwise,0.0,31.82,13.9,0.03,26.56,6.42,20.14,2,0.51,40.32,924,8,0,0,66,2,0,0,0
zurich,0.08,flatwise,0.0,39.8,13.39,0.04,22.85,5.99,16.86,0,0.47,51.24,877,21,0,0,98,4,0,0,0
zurich,0.08,flatwise,0.0,38.4,13.59,0.04,23.56,6.18,17.38,4,0.54,49.06,729,21,0,0,248,2,0,0,0
zurich,0.08,flatwise,0.0,37.57,14.08,0.04,24.07,6.6,17.47,2,0.55,47.72,760,22,0,0,216,2,0,0,0
zurich,0.08,flatwise,0.0,37.33,14.34,0.04,24.21,6.86,17.35,3,0.65,47.6,760,19,0,0,219,2,0,0,0
zurich,0.08,flatwise,0.0,34.0,14.21,0.03,25.76,6.75,19.01,3,0.7,42.86,839,12,0,0,144,5,0,0,0
zurich,0.08,flatwise,0.0,31.98,14.12,0.03,26.62,6.64,19.98,2,0.63,40.09,876,14,0,0,109,1,0,0,0
