net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
10.67,549280,576600,498238,124.56,3.93,3.27,7.63,44.76,25.86,211,280,308,623,55.19,1903,188,206,281,1249
9.82,498238,542283,523609,130.9,3.39,3.27,7.62,45.67,25.98,178,241,324,569,55.28,1945,267,159,317,1267
10.16,523609,568074,525649,131.41,3.56,3.26,7.62,45.92,26.76,172,201,261,739,55.94,1911,276,227,213,1430
10.17,525649,560313,517869,129.47,3.53,3.28,7.63,46.8,25.81,197,179,229,574,55.57,1876,250,240,455,1447
9.79,517869,551125,526517,131.63,3.36,3.25,7.61,46.86,26.5,259,137,249,601,56.08,1870,206,264,414,1516
10.13,526517,555816,513339,128.33,3.56,3.27,7.63,47.13,26.24,261,181,158,607,56.16,1854,183,218,538,1419
9.75,513339,545916,516016,129.0,3.43,3.28,7.63,45.77,25.84,235,207,351,537,55.7,1858,169,198,445,1400
9.37,516016,550119,524975,131.24,3.22,3.27,7.63,46.81,26.36,193,221,325,553,56.57,1911,135,204,458,1545
9.47,524975,553454,529750,132.44,3.23,3.28,7.64,47.04,26.71,182,208,447,415,56.31,1917,169,159,503,1547
8.98,529750,558288,541702,135.43,3.02,3.27,7.62,48.1,26.22,171,193,399,305,56.06,1930,202,324,476,1667
10.17,541702,564887,524341,131.09,3.43,3.31,7.66,47.5,26.3,149,192,392,403,55.91,1918,207,287,452,1437
10.1,524341,558712,528353,132.09,3.45,3.27,7.62,47.36,25.84,173,157,416,434,56.37,1913,195,378,334,1506
9.51,528353,559707,540238,135.06,3.2,3.27,7.63,46.79,26.21,203,268,392,453,56.88,1896,189,347,252,1673
9.17,540238,562326,544189,136.05,3.08,3.28,7.64,47.76,26.66,218,268,413,297,56.75,1895,194,362,353,1681
10.07,544189,566649,527637,131.91,3.48,3.28,7.63,46.74,26.15,198,339,286,412,55.94,1895,162,357,351,1507
