city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
bern,0.15,flatwise,6.6,3022.45,9.82,3.02,7.6,2.64,4.96,1,0.1,154.67,1,3,15,447,4,3,86,441,143
bern,0.15,flatwise,2.64,2719.93,10.18,2.72,8.34,3.01,5.33,11,0.17,141.55,1,3,24,612,5,8,115,232,12
bern,0.15,flatwise,5.28,3052.13,9.88,3.05,7.57,2.69,4.88,0,0.1,155.18,1,3,15,413,4,3,75,486,50
bern,0.15,flatwise,6.6,3373.44,9.93,3.37,6.79,2.86,3.93,1,0.12,168.89,0,3,9,196,3,5,38,746,229
bern,0.15,flatwise,6.6,3328.15,10.13,3.33,6.92,3.02,3.9,7,0.16,166.07,0,3,11,201,3,5,37,740,78
bern,0.15,flatwise,3.96,2325.15,9.93,2.33,8.7,2.78,5.92,18,0.16,127.02,4,6,59,454,1,13,299,164,87
bern,0.15,flatwise,3.96,2621.07,10.11,2.62,8.45,3.01,5.44,1,0.11,137.87,3,5,30,610,1,10,167,174,136
bern,0.15,flatwise,6.6,2902.96,9.97,2.9,7.85,2.9,4.95,1,0.11,149.68,1,3,19,590,3,7,107,270,164
bern,0.15,flatwise,3.96,3180.7,10.04,3.18,7.24,2.85,4.39,1,0.11,161.27,0,1,13,301,4,6,60,615,173
bern,0.15,flatwise,2.64,2293.75,10.23,2.29,8.95,3.07,5.88,18,0.17,125.06,4,6,51,542,1,15,268,113,22
bern,0.15,flatwise,1.32,2320.3,10.01,2.32,8.89,2.93,5.96,6,0.12,126.0,4,7,44,553,2,15,258,117,1
bern,0.15,flatwise,3.96,2646.21,9.99,2.65,8.48,2.85,5.63,0,0.1,138.7,3,6,34,663,1,10,138,145,80
bern,0.15,flatwise,7.92,2950.47,10.14,2.95,7.84,3.06,4.78,0,0.13,151.56,1,3,24,488,3,7,81,393,117
bern,0.15,flatwise,5.28,3246.34,10.01,3.25,7.13,2.91,4.22,2,0.13,163.56,0,2,16,259,4,7,45,667,143
bern,0.15,flatwise,6.6,3533.5,9.7,3.53,6.32,2.6,3.72,2,0.1,176.24,0,0,10,138,4,6,37,805,384
bern,0.15,flatwise,7.92,3718.08,10.05,3.72,5.87,2.93,2.94,11,0.13,184.79,0,2,9,88,2,3,26,870,633
bern,0.15,flatwise,2.64,3020.66,10.07,3.02,7.74,2.92,4.82,15,0.15,154.22,1,2,14,517,3,6,52,405,66
bern,0.15,flatwise,6.6,3341.08,9.67,3.34,6.92,2.52,4.4,0,0.1,167.08,0,1,12,139,3,4,32,809,82
bern,0.15,flatwise,9.24,3643.14,10.09,3.64,6.11,2.92,3.19,6,0.12,180.13,0,2,9,92,3,1,21,872,387
bern,0.15,flatwise,0.0,2211.37,10.14,2.21,7.53,3.0,4.53,20,0.18,124.73,4,6,45,267,0,13,535,130,87
bern,0.15,flatwise,5.28,2501.86,10.23,2.5,8.97,3.03,5.94,0,0.11,131.52,3,3,32,693,1,9,122,137,118
bern,0.15,flatwise,3.96,2794.29,9.7,2.79,8.32,2.53,5.79,0,0.09,144.04,1,0,16,755,3,8,79,138,130
bern,0.15,flatwise,5.28,3081.53,9.67,3.08,7.58,2.55,5.03,1,0.1,156.89,0,0,13,538,4,6,46,393,137
bern,0.15,flatwise,6.6,3374.77,9.84,3.37,6.8,2.69,4.11,1,0.11,168.87,0,1,9,124,3,3,33,827,136
bern,0.15,flatwise,0.0,2285.23,10.06,2.29,8.54,2.93,5.61,22,0.17,124.48,4,4,39,529,0,8,326,90,23
bern,0.15,flatwise,5.28,2605.02,10.18,2.61,8.71,3.03,5.68,0,0.11,135.83,2,3,22,759,2,7,111,94,73
bern,0.15,flatwise,6.6,2913.23,9.94,2.91,7.98,2.83,5.15,0,0.11,149.31,1,1,10,632,3,5,73,275,90
bern,0.15,flatwise,7.92,3222.12,9.91,3.22,7.21,2.81,4.4,0,0.12,162.25,0,0,8,326,4,4,39,619,94
bern,0.15,flatwise,6.6,3243.32,9.82,3.24,7.15,2.78,4.37,2,0.13,162.77,0,0,8,287,4,4,37,660,42
bern,0.15,flatwise,7.92,3560.1,10.11,3.56,6.33,3.02,3.31,8,0.13,176.55,0,3,8,101,1,3,21,863,309
bern,0.15,flatwise,7.92,3782.69,9.78,3.78,5.74,2.74,3.0,7,0.12,187.09,0,3,5,72,1,1,15,903,636
bern,0.15,flatwise,5.28,2715.83,9.91,2.72,8.6,2.82,5.78,24,0.18,140.03,1,1,18,805,3,4,66,102,72
